Level	Rule Name	Subject	Property	Value
ERROR	multiple_definitions	IAO:0000118	IAO:0000115	A label for a class or property that can be used to refer to the class or property instead of the preferred rdfs:label. Alternative labels should be used to indicate community- or context-specific labels, abbreviations, shorthand forms and the like.@en
ERROR	multiple_definitions	IAO:0000118	IAO:0000115	An alternative name for a class or property which means the same thing as the preferred name (semantically equivalent)@en
ERROR	multiple_definitions	ONTONEO:00000160	IAO:0000115	A biological process that consists on the tear of the amniotic sac, causing the amniotic fluid to flow out through the vagina. It usually happens shortly before the birth, the expectant mother feels wetness and notices a clear odorless fluid.@en
ERROR	multiple_definitions	ONTONEO:00000160	IAO:0000115	Um processo biológico que consiste na ruptura do saco amniótico, fazendo com que o líquido amniótico flua para fora através da vagina. Geralmente acontece pouco antes do nascimento, a gestante sente umidade e percebe um líquido claro e inodoro.@pt
ERROR	multiple_definitions	ONTONEO:00000225	IAO:0000115	TO DO@en
ERROR	multiple_definitions	ONTONEO:00000225	IAO:0000115	TO DO@pt
ERROR	multiple_definitions	ONTONEO:00000228	IAO:0000115	A scalar measurement that refers to the diameter of the opening of the cervix measured during the cervical dilation process.@en
ERROR	multiple_definitions	ONTONEO:00000228	IAO:0000115	Uma medida escalar que se refere ao diâmetro da abertura do colo do útero medida durante o processo de dilatação cervical.@pt
ERROR	multiple_definitions	ONTONEO:00000255	IAO:0000115	A time measurement datum that is the result of measurement of the gestational age of a pregnant organism.@en
ERROR	multiple_definitions	ONTONEO:00000255	IAO:0000115	Um dado de medida de tempo que é o resultado da medição da idade gestacional de um organismo grávido.@pt
ERROR	multiple_definitions	ONTONEO:00000271	IAO:0000115	A human parturition where the birth of a baby happens with less than 37 weeks gestational age.@en
ERROR	multiple_definitions	ONTONEO:00000271	IAO:0000115	Um parto onde o nascimento de um bebê acontece com menos de 37 semanas da idade gestacional.@pt
ERROR	multiple_definitions	PDRO:0000001	IAO:0000115	A document authored by a health care provider that specifies how to realize some health care process for a particular patient.@en
ERROR	multiple_definitions	PDRO:0000001	IAO:0000115	Un document créé par un fournisseur de soin indiquant comment réaliser une partie d'un processus de santé pour un patient particulier.@fr
ERROR	multiple_definitions	http://www.ebi.ac.uk/efo/EFO_0002755	IAO:0000115	Regular course of eating and drinking adopted by a person or animal. This does not include DIET THERAPY, a specific diet prescribed in the treatment of a disease.
ERROR	multiple_definitions	http://www.ebi.ac.uk/efo/EFO_0002755	IAO:0000115	The customary allowance of food and drink taken by a person or an animal from day to day, particularly one especially planned to meet specific requirements of the individual, including or excluding certain items of food; a prescribed course of eating and drinking in which the amount and kind of food, as well as the times at which it is to be taken, are regulated for therapeutic purposes or selected with reference to a particular state of health.
ERROR	multiple_definitions	http://www.ebi.ac.uk/efo/EFO_0009663	IAO:0000115	A disease that involves the genitourinary system.
ERROR	multiple_definitions	http://www.ebi.ac.uk/efo/EFO_0009663	IAO:0000115	A disease that involves the genitourinary system. [database_cross_reference: MONDO:patterns/location]
ERROR	multiple_labels	IAO:0000118	rdfs:label	alternative label@en
ERROR	multiple_labels	IAO:0000118	rdfs:label	alternative term@en
ERROR	multiple_labels	ONTONEO:00000160	rdfs:label	ruptura de membranas@pt
ERROR	multiple_labels	ONTONEO:00000160	rdfs:label	rupture of membranes@en
ERROR	multiple_labels	ONTONEO:00000225	rdfs:label	história obstétrica@pt
