s,type,label
http://purl.bioontology.org/ontology/MEDDRA/10017076,http://www.w3.org/2002/07/owl#Class,Fracture
http://purl.bioontology.org/ontology/SNOMEDCT/125666000,http://www.w3.org/2002/07/owl#Class,Burn
http://purl.bioontology.org/ontology/SNOMEDCT/125670008,http://www.w3.org/2002/07/owl#Class,Foreign body
http://purl.bioontology.org/ontology/SNOMEDCT/128936008,http://www.w3.org/2002/07/owl#Class,Bacterial infection of skin
http://purl.bioontology.org/ontology/SNOMEDCT/22097005,http://www.w3.org/2002/07/owl#Class,Tree
http://purl.bioontology.org/ontology/SNOMEDCT/27942005,http://www.w3.org/2002/07/owl#Class,shock
http://purl.bioontology.org/ontology/SNOMEDCT/282026002,http://www.w3.org/2002/07/owl#Class,Soft tissue injury
http://purl.bioontology.org/ontology/SNOMEDCT/31986002,http://www.w3.org/2002/07/owl#Class,Animal bite
http://purl.bioontology.org/ontology/SNOMEDCT/7520000,http://www.w3.org/2002/07/owl#Class,Pyrexia of unknown origin
http://purl.obolibrary.org/obo/APOLLO_SV_00000232,http://www.w3.org/2002/07/owl#Class,clade name
http://purl.obolibrary.org/obo/BFO_0000001,http://www.w3.org/2002/07/owl#Class,entity
http://purl.obolibrary.org/obo/BFO_0000002,http://www.w3.org/2002/07/owl#Class,continuant
http://purl.obolibrary.org/obo/BFO_0000003,http://www.w3.org/2002/07/owl#Class,occurrent
http://purl.obolibrary.org/obo/BFO_0000004,http://www.w3.org/2002/07/owl#Class,independent continuant
http://purl.obolibrary.org/obo/BFO_0000015,http://www.w3.org/2002/07/owl#Class,process
http://purl.obolibrary.org/obo/BFO_0000016,http://www.w3.org/2002/07/owl#Class,disposition
http://purl.obolibrary.org/obo/BFO_0000017,http://www.w3.org/2002/07/owl#Class,realizable entity
http://purl.obolibrary.org/obo/BFO_0000019,http://www.w3.org/2002/07/owl#Class,quality
http://purl.obolibrary.org/obo/BFO_0000020,http://www.w3.org/2002/07/owl#Class,specifically dependent continuant
http://purl.obolibrary.org/obo/BFO_0000023,http://www.w3.org/2002/07/owl#Class,role
http://purl.obolibrary.org/obo/BFO_0000029,http://www.w3.org/2002/07/owl#Class,site
http://purl.obolibrary.org/obo/BFO_0000031,http://www.w3.org/2002/07/owl#Class,generically dependent continuant
http://purl.obolibrary.org/obo/BFO_0000034,http://www.w3.org/2002/07/owl#Class,function
http://purl.obolibrary.org/obo/BFO_0000035,http://www.w3.org/2002/07/owl#Class,process boundary
http://purl.obolibrary.org/obo/BFO_0000040,http://www.w3.org/2002/07/owl#Class,material entity
http://purl.obolibrary.org/obo/BFO_0000050,http://www.w3.org/2002/07/owl#ObjectProperty,part of
http://purl.obolibrary.org/obo/BFO_0000050,http://www.w3.org/2002/07/owl#TransitiveProperty,part of
http://purl.obolibrary.org/obo/BFO_0000051,http://www.w3.org/2002/07/owl#ObjectProperty,has part
http://purl.obolibrary.org/obo/BFO_0000051,http://www.w3.org/2002/07/owl#TransitiveProperty,has part
http://purl.obolibrary.org/obo/BFO_0000054,http://www.w3.org/2002/07/owl#ObjectProperty,realized in
http://purl.obolibrary.org/obo/BFO_0000055,http://www.w3.org/2002/07/owl#ObjectProperty,realizes
http://purl.obolibrary.org/obo/BFO_0000141,http://www.w3.org/2002/07/owl#Class,immaterial entity
http://purl.obolibrary.org/obo/BFO_0000179,http://www.w3.org/2002/07/owl#AnnotationProperty,BFO OWL specification label
http://purl.obolibrary.org/obo/BFO_0000180,http://www.w3.org/2002/07/owl#AnnotationProperty,BFO CLIF specification label
http://purl.obolibrary.org/obo/BTO_0000224,http://www.w3.org/2002/07/owl#Class,liver cell line
http://purl.obolibrary.org/obo/BTO_0000453,http://www.w3.org/2002/07/owl#Class,fibroblast cell line
http://purl.obolibrary.org/obo/CARO_0001008,http://www.w3.org/2002/07/owl#Class,gross anatomical part
http://purl.obolibrary.org/obo/CHEBI_10023,http://www.w3.org/2002/07/owl#Class,voriconazole
http://purl.obolibrary.org/obo/CHEBI_15765,http://www.w3.org/2002/07/owl#Class,L-dopa
http://purl.obolibrary.org/obo/CHEBI_15854,http://www.w3.org/2002/07/owl#Class,quinine
http://purl.obolibrary.org/obo/CHEBI_16240,http://www.w3.org/2002/07/owl#Class,hydrogen peroxide
http://purl.obolibrary.org/obo/CHEBI_16670,http://www.w3.org/2002/07/owl#Class,peptide
http://purl.obolibrary.org/obo/CHEBI_16991,http://www.w3.org/2002/07/owl#Class,deoxyribonucleic acid
http://purl.obolibrary.org/obo/CHEBI_23367,http://www.w3.org/2002/07/owl#Class,molecular entity
http://purl.obolibrary.org/obo/CHEBI_23888,http://www.w3.org/2002/07/owl#Class,drug
http://purl.obolibrary.org/obo/CHEBI_2682,http://www.w3.org/2002/07/owl#Class,amphotericin B
http://purl.obolibrary.org/obo/CHEBI_33281,http://www.w3.org/2002/07/owl#Class,antimicrobial agent
http://purl.obolibrary.org/obo/CHEBI_33521,http://www.w3.org/2002/07/owl#Class,metal atom
http://purl.obolibrary.org/obo/CHEBI_33696,http://www.w3.org/2002/07/owl#Class,nucleic acid
http://purl.obolibrary.org/obo/CHEBI_33697,http://www.w3.org/2002/07/owl#Class,ribonucleic acid
http://purl.obolibrary.org/obo/CHEBI_33839,http://www.w3.org/2002/07/owl#Class,macromolecule
http://purl.obolibrary.org/obo/CHEBI_34905,http://www.w3.org/2002/07/owl#Class,paraquat
http://purl.obolibrary.org/obo/CHEBI_35727,http://www.w3.org/2002/07/owl#Class,triazoles
http://purl.obolibrary.org/obo/CHEBI_3638,http://www.w3.org/2002/07/owl#Class,chloroquine
http://purl.obolibrary.org/obo/CHEBI_46081,http://www.w3.org/2002/07/owl#Class,fluconazole
http://purl.obolibrary.org/obo/CHEBI_474180,http://www.w3.org/2002/07/owl#Class,caspofungin
http://purl.obolibrary.org/obo/CHEBI_55346,http://www.w3.org/2002/07/owl#Class,anidulafungin
http://purl.obolibrary.org/obo/CHEBI_600520,http://www.w3.org/2002/07/owl#Class,micafungin
http://purl.obolibrary.org/obo/CHEBI_6076,http://www.w3.org/2002/07/owl#Class,itraconazole
http://purl.obolibrary.org/obo/CHEBI_63609,http://www.w3.org/2002/07/owl#Class,mefloquine
http://purl.obolibrary.org/obo/CHEBI_64355,http://www.w3.org/2002/07/owl#Class,posaconazole
http://purl.obolibrary.org/obo/CHEBI_8405,http://www.w3.org/2002/07/owl#Class,primaquine
http://purl.obolibrary.org/obo/CL_0000000,http://www.w3.org/2002/07/owl#Class,cell
http://purl.obolibrary.org/obo/CL_0000010,http://www.w3.org/2002/07/owl#Class,cultured cell
http://purl.obolibrary.org/obo/CL_0000232,http://www.w3.org/2002/07/owl#Class,erythrocyte
http://purl.obolibrary.org/obo/CL_0000578,http://www.w3.org/2002/07/owl#Class,experimentally modified cell in vitro
http://purl.obolibrary.org/obo/CMO_0000027,http://www.w3.org/2002/07/owl#Class,white blood cell count
http://purl.obolibrary.org/obo/CMO_0000289,http://www.w3.org/2002/07/owl#Class,respiration rate
http://purl.obolibrary.org/obo/DOID_0014667,http://www.w3.org/2002/07/owl#Class,disease of metabolism
http://purl.obolibrary.org/obo/DOID_0050117,http://www.w3.org/2002/07/owl#Class,disease by infectious agent
http://purl.obolibrary.org/obo/DOID_0050134,http://www.w3.org/2002/07/owl#Class,cutaneous mycosis
http://purl.obolibrary.org/obo/DOID_0050155,http://www.w3.org/2002/07/owl#Class,sensory system disease
http://purl.obolibrary.org/obo/DOID_0050161,http://www.w3.org/2002/07/owl#Class,lower respiratory tract disease
http://purl.obolibrary.org/obo/DOID_0050288,http://www.w3.org/2002/07/owl#Class,penicilliosis
http://purl.obolibrary.org/obo/DOID_0050338,http://www.w3.org/2002/07/owl#Class,primary bacterial infectious disease
http://purl.obolibrary.org/obo/DOID_0050486,http://www.w3.org/2002/07/owl#Class,exanthem
http://purl.obolibrary.org/obo/DOID_0060032,http://www.w3.org/2002/07/owl#Class,autoimmune disease of musculoskeletal system
http://purl.obolibrary.org/obo/DOID_0060039,http://www.w3.org/2002/07/owl#Class,autoimmune disease of skin and connective tissue
http://purl.obolibrary.org/obo/DOID_0060158,http://www.w3.org/2002/07/owl#Class,acquired metabolic disease
http://purl.obolibrary.org/obo/DOID_0060312,http://www.w3.org/2002/07/owl#Class,angular cheilitis
http://purl.obolibrary.org/obo/DOID_0060320,http://www.w3.org/2002/07/owl#Class,inguinal hernia
http://purl.obolibrary.org/obo/DOID_0060322,http://www.w3.org/2002/07/owl#Class,mastoiditis
http://purl.obolibrary.org/obo/DOID_0060324,http://www.w3.org/2002/07/owl#Class,dental abscess
http://purl.obolibrary.org/obo/DOID_10003,http://www.w3.org/2002/07/owl#Class,sensorineural hearing loss
http://purl.obolibrary.org/obo/DOID_10264,http://www.w3.org/2002/07/owl#Class,mumps
http://purl.obolibrary.org/obo/DOID_10301,http://www.w3.org/2002/07/owl#Class,parotitis
http://purl.obolibrary.org/obo/DOID_10456,http://www.w3.org/2002/07/owl#Class,tonsillitis
http://purl.obolibrary.org/obo/DOID_10459,http://www.w3.org/2002/07/owl#Class,common cold
