Ontology ID	label	has curation status	alternative term	definition	definition source	example of usage	editor note	term editor	ontology term requester	term tracker item	logical type	logical note	parent class	material processing technique	detection technique	evaluant	analyte	device	reagent	molecular label	input	output	target entity	objective	associated axioms
ID	A rdfs:label	AI has curation status	A alternative term SPLIT=|	A definition SPLIT=|	A definition source SPLIT=|	A example of usage SPLIT=|	A editor note SPLIT=|	A term editor SPLIT=|	A ontology term requester	A term tracker item	CLASS_TYPE		C % SPLIT=|	C 'has part' some % SPLIT=|	C 'has part' some % SPLIT=|	C (has_specified_input some (% and 'has role' some 'evaluant role')) and (realizes some ('evaluant role' and ('role of' some %))) SPLIT=|	C (has_specified_input some %) and (realizes some ('analyte role' and ('inheres in' some %)))	C (has_specified_input some %) and (realizes some (function and ('inheres in' some %))) SPLIT=|	C (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))	C (has_specified_input some %) and (realizes some ('molecular label role' and ('inheres in' some %)))	C has_specified_input some %	C has_specified_output some %	C has_specified_output some ('is about' some %)	C achieves_planned_objective some %	C %
VBassay:0000001	polymerase chain reaction assay			An assay that uses polymerase chain reaction technique to amplify DNA and perform further analysis.	VEuPathDB			Jie Zheng			equivalent		assay	polymerase chain reaction											
VBassay:0000002	restriction fragment length polymorphism assay		restriction fragment length polymorphism | RFLP | restriction fragment length polymorphism analysis	"An assay that detects variations in homologous DNA sequences, known as polymorphisms, in order to distinguish individuals, populations, or species or to pinpoint the locations of genes within a sequence. In the assay, a DNA exact is digested into fragments by one or more restriction enzymes, and the resulting restriction fragments are then separated by gel electrophoresis according to their size."	https://en.wikipedia.org/wiki/Restriction_fragment_length_polymorphism			Jie Zheng			subclass		assay	specific enzymatic cleavage		DNA extract		gel electrophoresis system	restriction enzyme						
VBassay:0000003	DNA fingerprinting assay		DNA profiling | DNA fingerprinting | DNA fingerprint | DNA finger printing	An assay to identify an organism individual from a DNA specimen by looking at unique patterns in their DNA.	VEuPathDB			Jie Zheng			subclass		assay			DNA extract									
VBassay:0000004	insecticide resistance assay		resistance identification/monitoring	"An assay that aims to to detect the presence, and estimate the frequency of resistance phenotypes, or resistance-associated markers in wild populations at a given time or over a defined time period."	MIRO:20000001			Jie Zheng			equivalent		assay											insecticide resistance detection objective	
VBassay:0000005	insecticide resistance by monitoring known mutations assay		monitoring known mutations	"An insecticide resistance assay that detects, in a population, presence and frequency of mutant alleles for previously characterized mutations with insecticide resistance phenotypes."	MIRO:20000096			Jie Zheng			subclass		insecticide resistance assay											insecticide resistance detection objective	
VBassay:0000006	insecticide resistance by detecting enzyme activity assay		metabolic resistance assay	An insecticide resistance assay that is based on determination the catalytic activity of an enzyme associated with insecticide resistance phenotypes.	MIRO:20000003			Jie Zheng			subclass		insecticide resistance assay										catalytic activity	insecticide resistance detection objective	
VBassay:0000007	insecticide resistance bioassay		bioassay	An insecticide resistance assay that is typically conducted to measure the effects of a substance on a living organism.	MIRO:20000058			Jie Zheng			subclass		insecticide resistance assay											insecticide resistance detection objective	
VBassay:0000008	insecticide resistance by detecting alpha esterase activity assay		alpha esterase activity assay	An insecticide resistance by detecting enzyme activity assay that measures activity of alpha esterase.	IRO:0000149			Jie Zheng			subclass		insecticide resistance by detecting enzyme activity assay										"hydrolase activity, acting on ester bonds"	insecticide resistance detection objective	
VBassay:0000009	insecticide resistance by detecting beta esterase activity assay		beta esterase activity assay	An insecticide resistance by detecting enzyme activity assay that measures activity of beta esterase.	IRO:0000150			Jie Zheng			subclass		insecticide resistance by detecting enzyme activity assay										"hydrolase activity, acting on ester bonds"	insecticide resistance detection objective	
VBassay:0000010	insecticide resistance by detecting acetylcholinesterase activity assay		acetylcholinesterase assay | AChE activity assay|AChE assay	An insecticide resistance by detecting enzyme activity assay that measures activity of acetylcholinesterase.	MIRO:20000084|MIRO:20000010|MIRO:20000086			Jie Zheng			subclass		insecticide resistance by detecting enzyme activity assay										acetylcholinesterase activity	insecticide resistance detection objective	
VBassay:0000011	insecticide resistance by detecting glutathione S-transferase activity assay		GST related assay	An insecticide resistance by detecting enzyme activity assay that measures activity of glutathione S-transferase (GST).	MIRO:20000083			Jie Zheng			subclass		insecticide resistance by detecting enzyme activity assay										glutathione transferase activity	insecticide resistance detection objective	
VBassay:0000012	insecticide resistance by detecting carboxylic ester hydrolase activity assay		pNPA assay	An insecticide resistance by detecting enzyme activity assay that measures activity of carboxylic ester hydrolase using p-nitrophenyl acetate as a substrate.	MIRO:20000019			Jie Zheng			subclass		insecticide resistance by detecting enzyme activity assay										carboxylic ester hydrolase activity	insecticide resistance detection objective	
VBassay:0000013	insecticide resistance by detecting mixed-function oxidase assay		mixed-function oxidase assay	An insecticide resistance by detecting enzyme activity assay that measures whether mixed-function oxidase activity present.	MIRO:20000062			Jie Zheng			subclass		insecticide resistance by detecting enzyme activity assay											insecticide resistance detection objective	
