Ontology ID	label	alternative term	definition	definition source	term editor	logical type	parent class	example of usage	editor note	ontology term requester	term tracker item	has curation status
ID	A rdfs:label	A alternative term SPLIT=|	A definition SPLIT=|	A definition source SPLIT=|	A term editor SPLIT=|	CLASS_TYPE	C % SPLIT=|	A example of usage	A editor note	A ontology term requester	A term tracker item	AI has curation status
OBI:0002683	short interspersed nuclear elements polymerase chain reaction	short interspersed elements PCR	A polymerase chain reaction that amplifies short interspersed nuclear elements (SINEs).	PMID: 12711348	Jie Zheng	subclass	polymerase chain reaction			VEuPathDB	https://github.com/obi-ontology/obi/issues/1117	http://purl.obolibrary.org/obo/IAO_0000120
OBI:0002684	nested polymerase chain reaction	nested PCR | nested-PCR	A polymerase chain reaction with modification intended to reduce non-specific binding in products due to the amplification of unexpected primer binding sites. The nested polymerase chain reaction (PCR) involves the use of two primer sets and two successive PCR reactions. The first set of primers are designed to anneal to sequences upstream from the second set of primers and are used in an initial PCR reaction.	https://en.wikipedia.org/wiki/Nested_polymerase_chain_reaction	Jie Zheng	subclass	polymerase chain reaction			VEuPathDB	https://github.com/obi-ontology/obi/issues/1117	http://purl.obolibrary.org/obo/IAO_0000120
OBI:0002685	immunoelectrophoresis	IEP	An electrophoresis that separates and characterize proteins based on reaction with antibodies.	https://en.wikipedia.org/wiki/Immunoelectrophoresis	Jie Zheng	subclass	electrophoresis			VEuPathDB	https://github.com/obi-ontology/obi/issues/1117	http://purl.obolibrary.org/obo/IAO_0000120
OBI:0002686	counter current immunoelectrophoresis		An electrophoresis in which antigen and antibody move in opposite directions and form precipitates in the area between the cells where they meet in concentrations of optimal proportions.	http://www.ispybio.com/search/protocols/ie%20protocol2.pdf	Jie Zheng	subclass	electrophoresis			VEuPathDB	https://github.com/obi-ontology/obi/issues/1117	http://purl.obolibrary.org/obo/IAO_0000120
OBI:0002687	ligase detection reaction	LDR	"A linear amplification that uses a thermostable ligase to amplify a piece of DNA. Because the enzyme retains activity after multiple thermal cycles, the ligations may be repeated to linearly increase product."	MIRO:20000103	Jie Zheng	subclass	linear amplification			VEuPathDB	https://github.com/obi-ontology/obi/issues/1117	http://purl.obolibrary.org/obo/IAO_0000120
OBI:0002688	loop-mediated isothermal amplification	LAMP	An enzymatic amplification in which a piece of DNA is amplified at a constant temperature of 60 - 65 degree C using either two or three sets of primers and a polymerase with high strand displacement activity in addition to a replication activity. This amplification does not need thermal cyclers and may be a low cost alternative to PCR.	https://en.wikipedia.org/wiki/Loop-mediated_isothermal_amplification	Jie Zheng	subclass	enzymatic amplification			VEuPathDB	https://github.com/obi-ontology/obi/issues/1117	http://purl.obolibrary.org/obo/IAO_0000120
OBI:0002689	detection of pathogenic organisms objective		An organism feature identification objective that aims to detect whether an organism contains pathogenic organisms.	VEuPathDB	Jie Zheng	subclass	organism feature identification objective			VEuPathDB	https://github.com/obi-ontology/obi/issues/1117	http://purl.obolibrary.org/obo/IAO_0000120
OBI:0002690	insecticide resistance detection objective		An organism feature identification objective that aims to detect insecticide resistance of an insect.	VEuPathDB	Jie Zheng	subclass	organism feature identification objective			VEuPathDB	https://github.com/obi-ontology/obi/issues/1117	http://purl.obolibrary.org/obo/IAO_0000120
OBI:0002691	arthropod meal of blood specimen	blood meal	A specimen of the blood ingested by an arthropod.	VEuPathDB	Chris Stoeckert|Jie Zheng	subclass	specimen	A specimen used in a blood meal assay to determine what is the source of blood ingested by a mosquito.	"The mosquito feeds on a human for example, ingests the blood of the human, this blood is then taken from the tummy of a mosquito and a PCR may be run on this specimen to identify that the mosquito definitely fed on a human."	VEuPathDB	https://github.com/obi-ontology/obi/issues/1117	http://purl.obolibrary.org/obo/IAO_0000120
