Ontology ID,Label,Parent,Definition,Alternative term,Equivalent axiom,Term editor,VB ID,Source
ID,LABEL,SC %,A definition,A alternative term,EC %,A term editor,A sourced by VectorBase ID,A definition source
EUPATH:0043117,insecticide concentration in percent,insecticide concentration datum,An insecticide concentration datum expressed as a percent.,,'insecticide concentration datum' and 'has measurement unit label' only percent,Person: John Judkins,,VEuPathDB
EUPATH:0043118,insecticide concentration in parts per notation unit,insecticide concentration datum,An insecticide concentration datum that has a parts per notation unit.,,insecticide concentration datum' and 'has measurement unit label' only 'parts per notation unit,Person: John Judkins,,VEuPathDB
EUPATH:0043119,insecticide concentration in area density unit,insecticide concentration datum,An insecticide concentration datum that has an area density unit.,,insecticide concentration datum' and 'has measurement unit label' only 'area density unit,Person: John Judkins,,VEuPathDB
EUPATH:0043120,insecticide concentration in mass density unit,insecticide concentration datum,An insecticide concentration datum that has a mass density unit.,,insecticide concentration datum' and 'has measurement unit label' only 'mass density unit,Person: John Judkins,,VEuPathDB
EUPATH:0043121,insecticide concentration in mass per standard assay bottle,insecticide concentration datum,"An insecticide concentration datum that has a unit of mass unit per standard assay bottle, which is 250 ml.",,,Person: John Judkins,,VEuPathDB
EUPATH:0043122,lethal insecticide concentration 50,insecticide concentration datum,A data item that is about the concentration of an insecticide that kills 50% of a population of insects.,LC50,,Person: John Judkins,VBcv:0000726,VEuPathDB
EUPATH:0043123,lethal insecticide concentration 50 in percent,lethal insecticide concentration 50,"A lethal insecticide concentration 50, expressed as a percent.",LC50 in percent,'lethal insecticide concentration 50' and 'has measurement unit label' only percent,Person: John Judkins,,VEuPathDB
EUPATH:0043124,lethal insecticide concentration 50 in parts per notation unit,lethal insecticide concentration 50,A lethal insecticide concentration 50 that has a parts per notation unit.,LC50 in parts per million or billion,lethal insecticide concentration 50' and 'has measurement unit label' only 'parts per notation unit,Person: John Judkins,,VEuPathDB
EUPATH:0043125,lethal insecticide concentration 50 in area density unit,lethal insecticide concentration 50,A lethal insecticide concentration 50 that has an area density unit.,LC50 in mass per area,lethal insecticide concentration 50' and 'has measurement unit label' only 'area density unit,Person: John Judkins,,VEuPathDB
EUPATH:0043126,lethal insecticide concentration 50 in mass density unit,lethal insecticide concentration 50,A lethal insecticide concentration 50 that has a mass density unit.,LC50 in mass per volume,lethal insecticide concentration 50' and 'has measurement unit label' only 'mass density unit,Person: John Judkins,,VEuPathDB
EUPATH:0043127,lethal insecticide concentration 50 in mass per standard assay bottle,lethal insecticide concentration 50,"A lethal insecticide concentration 50 that has a unit of mass unit per standard assay bottle, which is 250 ml.",LC50 in mass per standard assay bottle,,Person: John Judkins,,VEuPathDB
EUPATH:0043128,lethal insecticide concentration 95,insecticide concentration datum,A data item that is about the concentration of an insecticide that kills 95% of a population of insects.,LC95,,Person: John Judkins,VBcv:0000728,VEuPathDB
EUPATH:0043129,lethal insecticide concentration 95 in percent,lethal insecticide concentration 95,"A lethal insecticide concentration 95, expressed as a percent.",LC95 in percent,'lethal insecticide concentration 95' and 'has measurement unit label' only percent,Person: John Judkins,,VEuPathDB
EUPATH:0043130,lethal insecticide concentration 95 in parts per notation unit,lethal insecticide concentration 95,A lethal insecticide concentration 95 that has a parts per notation unit.,LC95 in parts per million or billion,lethal insecticide concentration 95' and 'has measurement unit label' only 'parts per notation unit,Person: John Judkins,,VEuPathDB
EUPATH:0043131,lethal insecticide concentration 95 in area density unit,lethal insecticide concentration 95,A lethal insecticide concentration 95 that has an area density unit.,LC95 in mass per area,lethal insecticide concentration 95' and 'has measurement unit label' only 'area density unit,Person: John Judkins,,VEuPathDB
