ID,LABEL,SubClass Of [NAMED],alternative term,definition,definition source,term editor,term tracker item,term replaced by,ontology term requester,editor note,deprecated,sourced by VectorBase ID,Source,SubClass Of [ANON],Equivalent Class,OBO ontologies?,JZ comment,JJ comment
EUPATH:0010001,antibiotic administration process,administering substance in vivo,Antibiotic administration before stool collection,Administering substance in vivo where an antibiotic substance is administered to a living organism.,Penn Group,"Person:  Cristian Cocos, Jie Zheng, Chris Stoeckert",,,,,,,GEMS,,,"OGMS, IDO, OBI",,"try OBI first, since suggested parent is OBI. They may want to include antibiotic disposition from IDO or antimicrobial agent role from CHEBI."
EUPATH:0043200,flying adult arthropod collection process by passive interception,adult arthropod specimen collection process,,"An adult arthropod specimen collection process that has the objective of collecting arthropods capable of flight, through the use of a barrier trap.",VEuPathDB,Person: John Judkins,,,,,,,,,,,,
EUPATH:0043047,landing arthropod specimen collection process,adult arthropod specimen collection process,collection of landing insects,An arthropod specimen collection process that occurs while the arthropods land on a surface.,,,,,,,,VSMO:0001457,,,,,,
EUPATH:0000120,age since birth at time of enrollment,age since birth measurement datum,,An age since birth measurement datum at the time of subject enrollment.,Penn Group,Person: Jie Zheng,,,,,,,PRISM,,,OGMS,,OBI already has age measurement datum terms
EUPATH:0000113,age since birth at time of visit,age since birth measurement datum,,An age since birth measurement datum at the time of a clinical visit.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, Shon cade, Grant Dorsey",,,,,,,PRISM,,,OGMS,,OBI already has age measurement datum terms
EUPATH:0000579,age since birth in days,age since birth measurement datum,age in days,An age since birth measurement datum measured in days.,,,,,,,,,,,,,,keep or deprecate? has unit
EUPATH:0000214,screened air brick,air brick,,An air brick with a screen that can prevent some insects get in the dwelling.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey",,,,,,,PRISM,,,ENVO,,agree
EUPATH:0000222,unscreened air brick,air brick,,An air brick without a screen to prevent insects from enetering the dwelling.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey",,,,,,,PRISM,,,ENVO,,agree
EUPATH:0000215,severe anemia,anemia,,An anemia with hemoglobin levels less than 5 gm/dL.,Penn Group,"Person:  Jie Zheng, Chris Stoeckert, David Roos, Grant Dorsey",,,,,,,PRISM,,,"DOID, MONDO",,or HP?
EUPATH:0043192,egg specimen collection process,aquatic arthropod specimen collection process,collection of eggs,An arthropod specimen collection process in which the arthropods are in the embryo stage.,,,,,,,,MIRO:30000049,,,,OBI,,agree
