?id	label	definition	term editor	logical type	parent	antibody assay	assay
ID	A rdfs:label	A definition	A term editor SPLIT=|	CLASS_TYPE	SC %	SC is_specified_output_of some %	SC is_specified_output_of some %
EUPATH:0011522	Measles morbillivirus antibody assay in blood by enzyme-linked immunosorbent assay datum	An antibody titer that is the output of a enzyme-linked immunosorbent assay and is used to determine the presence of Measles morbillivirus antibody assay in the specimen.	Person: John Judkins	subclass	antibody titer	Measles morbillivirus antibody assay	enzyme-linked immunosorbent assay
EUPATH:0011517	Bordella pertussis antibody assay in induced sputum by enzyme-linked immunosorbent assay datum	An antibody titer that is the output of a enzyme-linked immunosorbent assay and is used to determine the presence of Bordella pertussis antibody assay in the specimen.	Person: John Judkins	subclass	antibody titer	Bordella pertussis antibody assay	enzyme-linked immunosorbent assay
EUPATH:0011403	Enterovirus C IgG titer in induced sputum by enzyme-linked immunosorbent assay datum	An antibody titer that is the output of a enzyme-linked immunosorbent assay and is used to determine the presence of Enterovirus C IgG titer in the specimen.	Person: John Judkins	subclass	antibody titer	Enterovirus C IgG titer	enzyme-linked immunosorbent assay
EUPATH:0010721	Rotavirus antibody assay in induced sputum by enzyme-linked immunosorbent assay datum	An antibody titer that is the output of a enzyme-linked immunosorbent assay and is used to determine the presence of Rotavirus antibody assay in the specimen.	Person: John Judkins	subclass	antibody titer	Rotavirus antibody assay	enzyme-linked immunosorbent assay
EUPATH:0036335	Rotavirus IgA antibody assay in milk by enzyme-linked immunosorbent assay datum	An antibody titer that is the output of a enzyme-linked immunosorbent assay and is used to determine the presence of Rotavirus IgA antibody assay in the specimen.	Person: John Judkins	subclass	antibody titer	Rotavirus IgA antibody assay	enzyme-linked immunosorbent assay
EUPATH:0011516	Rotavirus IgA antibody assay in blood by enzyme-linked immunosorbent assay datum	An antibody titer that is the output of a enzyme-linked immunosorbent assay and is used to determine the presence of Rotavirus IgA antibody assay in the specimen.	Person: John Judkins	subclass	antibody titer	Rotavirus IgA antibody assay	enzyme-linked immunosorbent assay
EUPATH:0011515	Rotavirus IgG antibody assay in induced sputum by enzyme-linked immunosorbent assay datum	An antibody titer that is the output of a enzyme-linked immunosorbent assay and is used to determine the presence of Rotavirus IgG antibody assay in the specimen.	Person: John Judkins	subclass	antibody titer	Rotavirus IgG antibody assay	enzyme-linked immunosorbent assay
EUPATH:0011514	Tetanus titer in induced sputum by enzyme-linked immunosorbent assay datum	An antibody titer that is the output of a enzyme-linked immunosorbent assay and is used to determine the presence of Tetanus titer in the specimen.	Person: John Judkins	subclass	antibody titer	Tetanus titer	enzyme-linked immunosorbent assay
EUPATH:0036261	Tetanus toxoid IgG titer in induced sputum by enzyme-linked immunosorbent assay datum	An antibody titer that is the output of a enzyme-linked immunosorbent assay and is used to determine the presence of Tetanus toxoid IgG titer in the specimen.	Person: John Judkins	subclass	antibody titer	Tetanus toxoid IgG titer	enzyme-linked immunosorbent assay
