Ontology ID	Label	VEuPathDB alternative label
ID		A VEuPathDB alternative label SPLIT=|
http://purl.obolibrary.org/obo/APOLLO_SV_00000570	employment status data item	Employment status
http://purl.obolibrary.org/obo/ARO_3004306	methicillin-resistant Staphylococcus aureus	Methicillin resistant Staphylococcus aureus
http://purl.obolibrary.org/obo/BFO_0000015	process	Observation type
http://purl.obolibrary.org/obo/CHEBI_10023	voriconazole	Voriconazole
http://purl.obolibrary.org/obo/CHEBI_161680	aztreonam	Aztreonam
http://purl.obolibrary.org/obo/CHEBI_16240	hydrogen peroxide	Hydrogen peroxide (H2O2)
http://purl.obolibrary.org/obo/CHEBI_22723	benzoic acids	Compound benzoic acid
http://purl.obolibrary.org/obo/CHEBI_23888	drug	Compound
http://purl.obolibrary.org/obo/CHEBI_2549	albuterol	Sulbutamol type
http://purl.obolibrary.org/obo/CHEBI_2682	amphotericin B	Amphotericin B
http://purl.obolibrary.org/obo/CHEBI_28864	tobramycin	Tobramycin
http://purl.obolibrary.org/obo/CHEBI_2955	azithromycin	Azithromycin
http://purl.obolibrary.org/obo/CHEBI_3504	cefpodoxime	Cefpodoxime
http://purl.obolibrary.org/obo/CHEBI_34905	paraquat	Paraquat
http://purl.obolibrary.org/obo/CHEBI_35341	steroid	Steroid type
http://purl.obolibrary.org/obo/CHEBI_3547	cephradine	Cephradine
http://purl.obolibrary.org/obo/CHEBI_35727	triazoles	Triazoles
http://purl.obolibrary.org/obo/CHEBI_35727	triazoles	Triazoles
http://purl.obolibrary.org/obo/CHEBI_3638	chloroquine	Chloroquine
http://purl.obolibrary.org/obo/CHEBI_37943	colistin	Colistin
http://purl.obolibrary.org/obo/CHEBI_46081	fluconazole	Fluconazole
http://purl.obolibrary.org/obo/CHEBI_474180	caspofungin	Caspofungin
http://purl.obolibrary.org/obo/CHEBI_55346	anidulafungin	Anidulafungin
http://purl.obolibrary.org/obo/CHEBI_600520	micafungin	Micafungin
http://purl.obolibrary.org/obo/CHEBI_6076	itraconazole	Itraconazole
http://purl.obolibrary.org/obo/CHEBI_63609	mefloquine	Mefloquine
http://purl.obolibrary.org/obo/CHEBI_64355	posaconazole	Posaconazole
http://purl.obolibrary.org/obo/CHEBI_8405	primaquine	Primaquine
http://purl.obolibrary.org/obo/CHEBI_8776	ranitidine	Ranitidine type
http://purl.obolibrary.org/obo/CHEBI_92511	ketotifen	Ketotifen
http://purl.obolibrary.org/obo/CMO_0000026	blood hemoglobin level	Hemoglobin
http://purl.obolibrary.org/obo/CMO_0000027	white blood cell count	White blood cells
http://purl.obolibrary.org/obo/CMO_0000105	body mass index (BMI)	BMI
http://purl.obolibrary.org/obo/CMO_0000289	respiration rate	Respiratory rate
http://purl.obolibrary.org/obo/CMO_0000591	urine protein level	Urine protein
