ID	LABEL	Type	contributor	example of usage	definition	editor note	term editor	alternative label	definition source	term tracker item	ontology term requester	comment	
ID	AL rdfs:label@en	TYPE	A http://purl.org/dc/elements/1.1/contributor SPLIT=|	A IAO:0000112 SPLIT=|	AL IAO:0000115@en	A IAO:0000116 SPLIT=|	A IAO:0000117 SPLIT=|	A IAO:0000118 SPLIT=|	A IAO:0000119 SPLIT=|	A IAO:0000233 SPLIT=|	A IAO:0000234 SPLIT=|		
EUPATH:0000001	building material	Class			A material entity used to build a dwelling or part of a dwelling.		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group|PRISM				
EUPATH:0000003	roof material	Class			A building material used in the construction of a roof.		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group|PRISM				
EUPATH:0000006	floor material	Class			A building material used in the construction of a floor		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group|PRISM				
EUPATH:0000009	wall material	Class			A building material used in the construction of a wall.		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group|PRISM				
EUPATH:0000014	numerical household wealth index	Class			"A data item of a household's cumulative living standard represented in a numerical datum. The wealth index is calculated using easy-to-collect data on a household's ownership of selected assets, such as televisions and bicycles; materials used for housing construction; and types of water access and sanitation facilities."		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group|http://dhsprogram.com/topics/Wealth-Index.cfm|PRISM				
EUPATH:0000018	air brick	Class			A brick with holes which is embedded in a wall to allow ventilation through it.		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group|http://en.wiktionary.org/wiki/air_brick|PRISM				
EUPATH:0000019	number of residents in a dwelling	Class			A scalar measurements datum of resident in a dwelling.		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group|PRISM				
EUPATH:0000023	cooking fuel material	Class			A material entity that consists of fuel mainly used for cooking.		"Person:  Jie Zheng, Chris Stoeckert"		PRISM|Penn Group				
EUPATH:0000025	number of rooms for sleeping in a dwelling	Class			number of rooms in a dwelling that are used for sleeping.		"Person:  Jie Zheng, Chris Stoeckert"	number of bedrooms in a dwelling	PRISM|Penn Group				
EUPATH:0000026	land area measurement datum	Class			A scalar measurement datum of land such as land owned by a household.		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group|Person: Chris Stoeckert|PRISM				
EUPATH:0000027	number of meals per day	Class			A scalar measurement datum of meals per day in a household		"Person:  Jie Zheng, Chris Stoeckert"		PRISM|Penn Group				
EUPATH:0000028	number of days per week eating meat	Class			A scalar measurement datum of days eating meat in a  week in a household		"Person:  Jie Zheng, Chris Stoeckert"		PRISM|Penn Group				
EUPATH:0000029	frequency of not satisfying food needs	Class			A categorical measurement datum that specifies how frequently the food needs of a household were not met.		"Person:  Jie Zheng, Chris Stoeckert"		PRISM|Penn Group				
EUPATH:0000033	glucose 6 phosphate dehydrogenase genotype	Class			A genotype information which is about the presence of certain genetic variants of glucose-6-phosphate dehydrogenase.		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group|PRISM				
EUPATH:0000034	alpha thalassemia genotype	Class			"A genotype information which is about the presence and degree of alpha-thalassemia, a form of thalassemia involving the number of functional HBA1 and HBA2 genes."		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group|PRISM				
EUPATH:0000035	sickle hemoglobin genotype	Class			"A genotype information which is about the presence of sickle-cell hemoglobin (HbS), an abnormal form of hemoglobin which is the oxygen-carrying protein within the red blood cells."		"Person:  Jie Zheng, Chris Stoeckert"		Penn Group|PRISM				
