ontology ID	entity type	label	alternative term	definition	definition source	example of usage	term editor	editor note	term tracker item	parent class	obsolete	obsolescence reason	replacement term	comment	Source	inSubset														
ID	TYPE	LABEL	A alternative term SPLIT=|	A http://purl.obolibrary.org/obo/IAO_0000115	A definition source SPLIT=|	A example of usage SPLIT=|	A term editor SPLIT=|	A editor note SPLIT=|	AI term tracker item	C %	AT deprecated^^xsd:boolean	AI has obsolescence reason	AI term replaced by	A rdfs:comment	A Source	A inSubset														
EUPATH:0000002	class	obsolete dwelling		"A material entity for accommodation, such as a building, part of a building, caravan, houseboat or other mobile home. A tent is not normally considered to be substantial."	Penn Group | http://en.wikipedia.org/wiki/Dwelling		"Person:  Jie Zheng, Chris Stoeckert"			Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/ENVO_01000744		PRISM															
EUPATH:0000004	class	obsolete roof								Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/ENVO_01000472																	
EUPATH:0000005	object property	obsolete material may be used for		A relation between a medication material and a disease or symptom that it may treat.				no longer in use			true	http://purl.obolibrary.org/obo/IAO_0000103																		
EUPATH:0000010	class	obsolete wall brick		"A processed material shaped a small rectangular block typically made of clay mixed with sand and fired in a kiln or baked by the sun, used in building wall construction."	http://www.thefreedictionary.com/brick					Obsolete Class	true																			
EUPATH:0000012	class	obsolete traditional house						"was ICEMR PRISM household, no longer used"		Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000103																		
EUPATH:0000013	class	obsolete modern house						"was ICEMR household, no longer used"		Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000103																		
EUPATH:0000015	class	obsolete eaves		"A processed material that is the bottom edge of a roof.  The primary function of the eaves is to keep rain water off the walls and to prevent the ingress of water at the junction where the roof meets the wall.  The secondary function is to control solar penetration; the eaves overhang can be designed to adjust the building's solar heat gain to suit the local climate, the latitude and orientation of the building, refer to passive solar building design. The eaves overhang may also shelter openings to ventilate the roof space."	Penn Group | http://en.wikipedia.org/wiki/Eaves		"Person:  Jie Zheng, Chris Stoeckert"		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/88	Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/ENVO_01000825		PRISM															
EUPATH:0000016	class	obsolete open eaves						"was ICEMR PRISM, no longer used"		Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000103																		
EUPATH:0000017	class	obsolete closed eaves						"was ICEMR PRISM household, no longer used"		Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000103																		
EUPATH:0000022	class	obsolete household having electricity information		An information content entity to indicate whether a household has electricity in a dwelling.	Penn Group		"Person:  Jie Zheng, Chris Stoeckert"			Obsolete Class	true				PRISM															
EUPATH:0000024	class	obsolete lighting material		A material entity that consists of an energy source for lighting.	Penn Group | PRISM		"Person:  Jie Zheng, Chris Stoeckert"			Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://purl.obolibrary.org/obo/OBI_0400065		PRISM															
EUPATH:0000030	class	obsolete distance to health facility		A length measurement datum of the distance from a dwelling to the nearest health facility.	Penn Group | Person: Chris Stoeckert		"Person:  Jie Zheng, Chris Stoeckert"			Obsolete Class	true																			
EUPATH:0000032	class	obsolete date of birth								Obsolete Class	true	http://purl.obolibrary.org/obo/IAO_0000228	http://www.ebi.ac.uk/efo/EFO_0004950			ICEMR protein array														
