Ontology ID	label	parent
ID		SC %
EUPATH:0043067	Psorophora johnstonii	NCBITaxon:7182
EUPATH:0043068	Psorophora mathesoni	NCBITaxon:7182
EUPATH:0043069	Psorophora mexicana	NCBITaxon:7182
EUPATH:0043070	Toxorhynchites rutilus rutilus	NCBITaxon:53553
EUPATH:0043071	Aedes atlanticus-tormentor morphological group	NCBITaxon:53545
EUPATH:0043072	Aedes fijiensis	NCBITaxon:53542
EUPATH:0043073	Aedes hodgkini	NCBITaxon:53545
EUPATH:0043074	Aedes hokkaidensis	NCBITaxon:53545
EUPATH:0043075	Aedes idahoensis	NCBITaxon:53545
EUPATH:0043078	Aedes mathesoni	EUPATH:0043079
EUPATH:0043079	Aedes mathesoni complex	NCBITaxon:53545
EUPATH:0043080	Aedes subdentatus	NCBITaxon:53540
EUPATH:0043081	Aedes tricholabis	NCBITaxon:53540
EUPATH:0043082	Aedes vexans arabiensis	EUPATH:0043083
EUPATH:0043083	Aedes vexans sensu lato	NCBITaxon:53540
EUPATH:0043084	Aedes vexans vexans	EUPATH:0043083
EUPATH:0043085	Aedes washinoi	NCBITaxon:53545
EUPATH:0043087	Anopheles culicifacies AD subgroup	NCBITaxon:63408
EUPATH:0043088	Anopheles distinctus	NCBITaxon:44534
EUPATH:0043089	Anopheles flavicosta	NCBITaxon:44534
EUPATH:0043091	Anopheles georgianus	NCBITaxon:44482
EUPATH:0043092	Anopheles listeri	NCBITaxon:44534
EUPATH:0043093	Anopheles natalensis	NCBITaxon:44534
EUPATH:0043094	Anopheles perplexens	NCBITaxon:44482
EUPATH:0043095	Anopheles sinensis sensu lato	NCBITaxon:44482
EUPATH:0043096	Anopheles umbrosus	NCBITaxon:59134
EUPATH:0043098	Culex chorleyi	NCBITaxon:53527
EUPATH:0043099	Culex cinerellus	NCBITaxon:53530
EUPATH:0043100	Culex cuyanus	NCBITaxon:53527
EUPATH:0043102	Culex lineata	NCBITaxon:7174
EUPATH:0043103	Culex peringueyi	NCBITaxon:53534
EUPATH:0043105	Culex salisburiensis	NCBITaxon:53534
EUPATH:0043107	Culex trifoliatus	NCBITaxon:53527
EUPATH:0043111	Sergentomyia theodori	NCBITaxon:2320533
EUPATH:0043112	Uranotaenia hopkinsi	NCBITaxon:325429
EUPATH:0043114	Wyeomyia haynei	NCBITaxon:174620
EUPATH:0043247	Anopheles nuneztovari sensu lato	NCBITaxon:44550
EUPATH:0043254	Anaplasma phagocytophilum str. Ap-ha	NCBITaxon:948
EUPATH:0043255	Anaplasma phagocytophilum str. Ap-v1	NCBITaxon:948
